created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Mon Nov 14 01:56:46 +0000 2022,1591973382522040320,Jalan tol Sayung - Demak atau Semarang - Demak seksi 2 ini jadwal ujicobanya kita ajukan. Dari yang semula tanggal 19 November menjadi 12 November. https://t.co/LZKzdEMEZh,3,26,94,627,in,109762193,1591973382522040320,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591973382522040320,
Mon Nov 14 01:31:33 +0000 2022,1591967035445350402,Gubernur Jawa Tengah Pak Ganjar Pranowo akan copot Kepala Sekolah yang terlibat Radikalisme Sikap tegas seorang pemimpin sangat diperlukan untuk mengikis dan melawan setiap gerakan yang mengandung unsur radikalisme yang merusak tata sosial dalam berbangsa dan bernegara https://t.co/UM15Rowhcs,15,23,84,266,in,829279851383234560,1591967035445350402,rahmaaulia45,https://twitter.com/rahmaaulia45/status/1591967035445350402,
Sun Nov 13 13:09:03 +0000 2022,1591780179415810049,Saya mengidolakan Mas Iwan Fals sejak SD dengan lagu-lagunya yang sarat kritik sosial politik.   Suatu kebanggaan kali ini saya bisa sepanggung dengan beliau. https://t.co/qSkDq6npSU,49,154,331,2265,in,109762193,1591780179415810049,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591780179415810049,
Sun Nov 13 11:07:09 +0000 2022,1591749503211737091,"Maaf #BapakPolitikIdentitas , jgn dibalik seolah anda diundang. Bagi yg mau jdi speaker itu mngajukn diri dgn mengisi formulir. Itu kmudian mnjadi tiket anda. Bukan anda sngaja diundang. Paham ya Bpk.tukang ngibul?. @jokowi @ganjarpranowo @PDI_Perjuangan @NasDem @aniesbaswedan https://t.co/RzO398Qvj1",117,195,438,1176,in,3272019055,1591749503211737091,gaya_ntt,https://twitter.com/gaya_ntt/status/1591749503211737091,"jokowi, ganjarpranowo, PDI_Perjuangan, NasDem, aniesbaswedan"
Sun Nov 13 08:33:59 +0000 2022,1591710959089119233,"Ganjar Pranowo ANAK KANDUNG rakyat  NAFASNYA ada dihati para PETANI, bukan OLIGARKI  Hidupnya lahir ditengah-tengah KESEDERHANAAN, bukan KEMEWAHAN  Berpengalaman menaikkan DERAJAT para petani dari desa, bukan sekadar membangun BENDA2 MATI dikota  #GanjarPranowo2024 https://t.co/xwugtbb8WQ",27,449,119,547,in,1102461866129776640,1591710959089119233,Miduk17,https://twitter.com/Miduk17/status/1591710959089119233,
Sun Nov 13 08:18:19 +0000 2022,1591707015969394688,"Anak-anak punya cita-cita. Dan kita sebagai orangtua, harus menemani mereka agar bisa tercapai cita-citanya.   Ruang belajar harus jadi tempat menyenangkan agar mereka mampu mengembangkan pemikiran secara optimal. https://t.co/ud7EEpvD1Q",3,62,121,810,in,109762193,1591707015969394688,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591707015969394688,
Sun Nov 13 07:40:13 +0000 2022,1591697425852682241,"Ayo mikir keras bong ! Pa @aniesbaswedan diundang di acara G20 Bali sebagai pembicara, knapa bukan @ganjarpranowo 😁 https://t.co/roJ06wUZQz",56,256,403,1396,in,1411204890106335237,1591697425852682241,BradHarizz,https://twitter.com/BradHarizz/status/1591697425852682241,"aniesbaswedan, ganjarpranowo"
Sun Nov 13 06:03:06 +0000 2022,1591672985802641409,Mister White @ganjarpranowo dan Pak @ZUL_Hasan mlepas peserta jalan sehat di halaman kantor Gubernur Jateng Dalam rangka Pramuktamar Muhammadiyah dan Aisyiyah ke 48 Lha malah buibu mintak selpi sama Pak Ganjar dan Pak Zul.. Acara inih terbuka dan serempak di 35 Kab di Jateng https://t.co/qfvFWSUIhU,2,6,65,251,in,55200751,1591672985802641409,WagimanDeep212_,https://twitter.com/WagimanDeep212_/status/1591672985802641409,"ganjarpranowo, ZUL_Hasan"
Sun Nov 13 02:25:04 +0000 2022,1591618117536739328,"Tebak, selain soal tema rambut yang sama-sama putih, menurutmu saya dan mas Iwan Fals asyik ngobrol soal apa? https://t.co/DB6gmcB7VS",110,1100,407,3834,in,109762193,1591618117536739328,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591618117536739328,
Sun Nov 13 02:01:21 +0000 2022,1591612146634616832,"Hebat Tim Ganjar Pranowo ajak warga DKI di 4 wlyh olahraga jl kaki di Car Free Day di jl MH Thamrin diberi bingkisan minyak goreng 2 Kg Rp 30.000 ditambah baju kaos, 1 botol air mineral  dlm tas merah. Sy ketemu Pak Sumadi dan isterinya di MRT. Mrk akan berhenti di stasiun H Nawi https://t.co/IflabXfdZi",175,1056,612,2474,in,114697372,1591612146634616832,musniumar,https://twitter.com/musniumar/status/1591612146634616832,
Sun Nov 13 01:21:15 +0000 2022,1591602058226176002,"Sampai saat ini sudah 3,3 ton Jawa Tengah mengekspor daun talas kering rajangan dengan harga 2 USD perkilogramnya. Meski masih kecil tapi peluang ekspor olahan daun talas ini sangat terbuka lebar. https://t.co/zP50XJ6d6H",9,58,184,1118,in,109762193,1591602058226176002,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591602058226176002,
Sat Nov 12 22:16:39 +0000 2022,1591555599166484481,"Lagi, info dari mbah @UyokBack   Akun @psi_id : penyebar hoax. Apa @ganjarpranowo tahu kalau dia dikampanyekan dengan cara tipa-tipu begini? https://t.co/uydaiPYgdu",29,145,356,776,in,1334070788060631040,1591555599166484481,RagilSemar,https://twitter.com/RagilSemar/status/1591555599166484481,"UyokBack, psi_id, ganjarpranowo"
Sat Nov 12 12:29:50 +0000 2022,1591407925188497419,"Menariknya sportourisme Borobudur Marathon ya seperti ini. Bukan cuma olahraga atau piknik saja, tapi berbagai sektor juga menerima manfaatnya. Pelaku UMKM, homestay, jasa wisata sampai warga biasa juga menerima manfaat. https://t.co/DsjoChYmv5",1,23,81,561,in,109762193,1591407925188497419,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591407925188497419,
Sat Nov 12 09:52:53 +0000 2022,1591368426945392640,"Luar biasa banget Borobudur Marathon tahun ini. Selain race elite dan half marathon, ada juga kategori youth untuk pelajar. Dan inilah pemenangnya.   Borobudur Marathon selalu menyisakan cerita yang menarik. Bukan cuma dari atlet, tapi dari warga, pelaku UMKM, penginapan dll. https://t.co/hiT6Z3lRn8",1,18,98,607,in,109762193,1591368426945392640,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591368426945392640,
Sat Nov 12 08:30:38 +0000 2022,1591347725810823168,"Memperjuangkan Ganjar Pranowo adalah memperjuangkan KEINDONESIAAN  Ini bukan sekadar nama Ganjar Pranowo, tetapi memastikan saudara2 kita yang TERTINGGAL tetap merasakan kehadiran NEGARA  Kita juga memastikan Indonesia SETARA, bukan DIKOTAK2kan karena Agama, suku dan Rasnya https://t.co/mKG8vTrvNA",29,582,157,839,in,1102461866129776640,1591347725810823168,Miduk17,https://twitter.com/Miduk17/status/1591347725810823168,
Sat Nov 12 03:19:18 +0000 2022,1591269375067443202,Sebuah untold story.   Pemberantasan dan pencegahan tindak korupsi harus dimulai dari diri sendiri. Instruksi atau imbauan saja tidak bisa. Tidak bakal bisa. Harus ada contoh. Di Pemprov Jawa Tengah seluruh pejabatnya alhamdulillah selalu rajin melaporkan LHKPN. https://t.co/HaWAaH155K,2,58,120,686,in,109762193,1591269375067443202,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591269375067443202,
Sat Nov 12 01:28:10 +0000 2022,1591241409939804161,Borobudur Marathon. Hari pertama ini langsung kita gas elite race. Inilah race terberat Bomar yang diperebutkan pelari-pelari profesional. https://t.co/X9YAUtgF8U,3,34,92,686,in,109762193,1591241409939804161,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591241409939804161,
Fri Nov 11 13:20:10 +0000 2022,1591058203839991808,"Absen dulu pendukung Ganjar Pranowo Disini, sekali Ganjar tetap Ganjar❤️✍️👍 https://t.co/witt4oEZNK",16,341,183,1580,in,1393950183596068869,1591058203839991808,Wandystjk,https://twitter.com/Wandystjk/status/1591058203839991808,
Fri Nov 11 11:53:02 +0000 2022,1591036274332536834,Ada yang mau ngasih saran ke dia biar cintanya gak bertepuk sebelah tangan? 😁 https://t.co/e2VaLITfzB,26,221,187,1638,in,109762193,1591036274332536834,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1591036274332536834,
Fri Nov 11 09:43:20 +0000 2022,1591003633243815938,"Ganjar Pranowo bertemu Presiden Jokowi di Istana bersama Petinggi² Partai PDIP, Mungkinkah Presiden Jokowi Merestui Ganjar Pranowo Sebagai Capres 2024....??? https://t.co/h1nNjQTaJO",8,22,73,317,in,2385926900,1591003633243815938,MARQUEZ__93,https://twitter.com/MARQUEZ__93/status/1591003633243815938,
Fri Nov 11 08:05:14 +0000 2022,1590978946937810946,Maka siapapun yang menghendaki perbaikan di masa mendatang harus menjalani perjuangan. Tidak perlu menunggu punya kekuatan besar dan harta yang melimpah.   Tidak perlu juga menunggu meraih jabatan. Karena perjuangan bisa kita lakukan saat ini. https://t.co/LP2dkuOO56,8,68,122,808,in,109762193,1590978946937810946,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1590978946937810946,
Fri Nov 11 06:25:01 +0000 2022,1590953727607078912,"Dampak pembangunan jembatan ini memang besar. Mau tidak mau harus dipercepat. Alhamdulillah setelah kemarin kita cek dan diskusi dengan beberapa teman2 pelaksana, pembangunannya bisa dikebut. https://t.co/QewJtnAofc",14,78,205,1445,in,109762193,1590953727607078912,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1590953727607078912,
Thu Nov 10 09:54:59 +0000 2022,1590644178685693953,Mari lakukan peran dan tanggung jawab kita dengan sebaik-baiknya. Karena itulah perjuangan terbaik masa kini.   Apa yang dilakukan Pak Subari dengan  menghibahkan 1.800 m² tanahnya itu adalah satu dari sekian banyak tauladan yang ada di sekitar kita. https://t.co/pkJTXFBwQl,6,24,117,796,in,109762193,1590644178685693953,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1590644178685693953,
Thu Nov 10 05:35:16 +0000 2022,1590578817885933568,"Pembersihan lokasi banjir dari lumpur dan sampah dilakukan dengan sigap oleh kawan-kawan.  Kita kirim bantuan berupa sembako dan yang lainnya. Tapi sungguh anak-anak adalah pelipur, mereka masih ceria dan bermain. Semoga segera pulih semuanya. https://t.co/Pay0ZcBNad",2,61,102,660,in,109762193,1590578817885933568,ganjarpranowo,https://twitter.com/ganjarpranowo/status/1590578817885933568,
